WKT,Name,Description
"POINT (127.0358512 37.497858)",Point 1,
"POINT (127.0358559 37.4978532)",Point 4,
"POINT (127.03586 37.4978468)",Point 5,
"POINT (127.035864 37.4978418)",Point 6,
"POINT (127.035869 37.4978375)",Point 7,
"POINT (127.0358734 37.4978322)",Point 8,
