2024-11-15T15:44:53.510847,"0.0, 0.0"
2024-11-15T15:45:16.409283,"37.4295509, 126.9909654"
2024-11-15T15:45:29.066630,"37.429544416208664, 126.99097657207122"
2024-11-15T15:45:55.122714,"37.42954743875915, 126.99097120705683"
2024-11-15T15:46:19.322748,"37.42954465673292, 126.99097706085018"
2024-11-15T15:46:24.053165,"37.4295826823831, 126.99094879561711"
2024-11-15T15:46:29.149100,"37.42962873685659, 126.9909224930119"
2024-11-15T15:46:33.537041,"37.4297358234832, 126.99090499555757"
2024-11-15T15:46:38.260007,"37.429841765031284, 126.99090512046811"
2024-11-15T15:46:43.282609,"37.42992958937808, 126.99098577932399"
2024-11-15T15:46:47.799789,"37.42992895567756, 126.99108238588578"
2024-11-15T15:46:52.296074,"37.429863580731016, 126.99111970505244"
2024-11-15T15:46:57.631371,"37.42976707800493, 126.99109891209005"
2024-11-15T15:48:07.150721,"37.42966804253183, 126.99105519163557"
2024-11-15T15:49:14.371392,"37.429601402491365, 126.99103288245024"
2024-11-15T15:49:24.740011,"37.429549063823586, 126.99101360549305"
2024-11-15T15:49:29.790037,"37.42954971893233, 126.99098886856608"
2024-11-15T15:50:06.012206,"37.429530599697124, 126.99098082403641"
2024-11-15T15:50:34.896769,"37.42951477915456, 126.99098911804927"
2024-11-15T15:50:37.774521,"37.42953686837713, 126.9909745584809"
2024-11-15T15:50:44.947831,"37.429526231599304, 126.99098465915561"
2024-11-15T15:51:10.050437,"37.42952920599654, 126.9909771577705"
2024-11-15T15:51:15.267843,"37.429566060663355, 126.99097071779735"
2024-11-15T15:51:22.957606,"37.42957058936608, 126.99096400334433"
2024-11-15T15:51:58.363873,"37.42956864173765, 126.99098409746561"
2024-11-15T15:54:32.628869,"37.42955563640854, 126.9909904776074"
2024-11-15T15:55:36.273732,"37.42954938372429, 126.99098349495118"
2024-11-15T15:55:40.982659,"37.42958341987899, 126.9909654154004"
2024-11-15T15:56:09.947769,"37.42957238834289, 126.99096610764292"
2024-11-15T15:56:29.531005,"37.42956810083159, 126.99096590716452"
2024-11-15T15:56:46.115986,"37.42955877568397, 126.99097336747207"
2024-11-15T15:56:51.497765,"37.42958462330687, 126.99096644033533"
2024-11-15T15:57:59.373008,"37.42957673779838, 126.99097023666239"
2024-11-15T15:58:02.497409,"37.42955937189626, 126.99097734136168"
2024-11-15T15:58:08.893571,"37.4295821638334, 126.9909786411646"
2024-11-15T15:58:16.737048,"37.42957405339841, 126.99097901237954"
2024-11-15T15:58:33.898180,"37.42955738670809, 126.99097876632977"
2024-11-15T15:58:51.758492,"37.429545812127515, 126.99098024053873"
2024-11-15T15:58:53.154616,"37.42958704882056, 126.9909769326896"
2024-11-15T15:58:56.464061,"37.429610118718166, 126.99097448937873"
2024-11-15T15:59:00.885926,"37.42959492800449, 126.99097303926321"
2024-11-15T15:59:38.454976,"37.429582348775874, 126.99097460000694"
2024-11-15T16:00:59.629481,"37.429583506057476, 126.99097083905654"
2024-11-15T16:01:04.889942,"37.4295825482253, 126.99097016402007"
2024-11-15T16:01:40.003868,"37.42956289587935, 126.9909743043494"
2024-11-15T16:01:50.401622,"37.4295489731093, 126.99097272092123"
2024-11-15T16:02:13.076857,"37.42954295149001, 126.9909747257453"
2024-11-15T16:02:18.324519,"37.42953865587314, 126.99097891664782"
2024-11-15T16:02:23.525643,"37.42958079754404, 126.99097321729053"
2024-11-15T16:02:32.639958,"37.42957180273232, 126.99097023510458"
2024-11-15T16:02:43.117771,"37.42956255043658, 126.99097477818847"
2024-11-15T16:02:48.627918,"37.42958900309061, 126.99097009518684"
2024-11-15T16:02:58.158546,"37.429576050518996, 126.99097100565105"
2024-11-15T16:03:02.273544,"37.4295998115343, 126.99096508504998"
2024-11-15T16:03:03.375181,"37.42958547298222, 126.99095935814339"
2024-11-15T16:04:40.200364,"37.42958253965692, 126.990958898452"
2024-11-15T16:04:45.166978,"37.429606319072434, 126.99095311518845"
2024-11-15T16:05:06.863219,"37.42958629924716, 126.99095866026686"
2024-11-15T16:05:26.530629,"37.4295709123743, 126.99096875879934"
2024-11-15T16:05:48.957560,"37.4295562191989, 126.9909731964238"
2024-11-15T16:05:52.261114,"37.42954002977401, 126.99097722920796"
2024-11-15T16:06:05.947277,"37.429529352258854, 126.9909797709728"
2024-11-15T16:07:53.984077,"37.429535139703646, 126.99098126744153"
2024-11-15T16:07:59.003765,"37.4295799468214, 126.9909740798454"
2024-11-15T16:08:18.062723,"37.42957711316631, 126.99097270567444"
2024-11-15T16:08:22.872503,"37.42960331329749, 126.99096499901854"
2024-11-15T16:10:28.626812,"37.42958367515787, 126.9909718553588"
2024-11-15T16:10:33.551552,"37.429608468695115, 126.99096262677617"
2024-11-15T16:11:21.353772,"37.42958535087324, 126.99097036489789"
2024-11-15T16:12:20.445097,"37.429577493874355, 126.9910012883033"
2024-11-15T16:12:25.173533,"37.429588787349545, 126.99100402955413"
2024-11-15T16:13:32.663052,"37.42957581573291, 126.99100450178989"
2024-11-15T16:13:57.125095,"37.4295626822186, 126.9910076529893"
2024-11-15T16:14:22.002511,"37.429572859988326, 126.99098947030076"
2024-11-15T16:15:58.455042,"37.42955975154534, 126.99098283720213"
2024-11-15T16:16:03.491089,"37.429571835905385, 126.99099521614205"
2024-11-15T16:16:08.387720,"37.42959889925863, 126.9909946460118"
2024-11-15T16:16:16.252992,"37.42958556548711, 126.99099894091862"
2024-11-15T16:20:54.693635,"37.42969977765728, 126.99097116629187"
2024-11-15T16:20:59.832678,"37.42967352866644, 126.9909748730974"
2024-11-15T16:26:31.346154,"37.42962819637061, 126.99097583222596"
2024-11-15T16:27:01.966763,"37.429612813297716, 126.9909746343966"
2024-11-15T16:27:31.630842,"37.42958250976152, 126.99097801075834"
2024-11-15T16:27:37.052845,"37.42958931716268, 126.99096913762955"
2024-11-15T16:27:56.806439,"37.42957384210976, 126.99096904129426"
2024-11-15T16:28:02.095052,"37.42958463352025, 126.99096240086145"
2024-11-15T16:46:23.831812,"0.0, 0.0"
2024-11-15T16:46:28.150873,"37.426479, 126.9863874"
2024-11-15T17:14:18.108077,"0.0, 0.0"
2024-11-15T17:15:15.414692,"37.4295339, 126.9909891"
2024-11-15T17:16:40.430396,"37.42957120673782, 126.99095548403571"
2024-11-15T17:18:05.956319,"37.4295546442677, 126.99098029315147"
2024-11-15T17:18:11.156040,"37.42603869795227, 126.98995179081051"
2024-11-15T17:18:16.274801,"37.42794848974273, 126.99049937339069"
